fixed,fixed,contents,calculated,dc.title.alternative,dc.contributor.author,dc.contributor,fixed,dc.subject,pls.person,pls.organization,dc.coverage.spatial,fixed,dc.dateOriginal,dc.date.issued,dc.publisher,pls.publicationPlace,dcterms.abstract,dc.description,fixed,fixed,fixed,dcterms.extent,dc.language.iso,,fixed,fixed,fixed,fixed
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2712-001.tif,701-151-005-2712-001,Women's Auxiliary Service members at work,,,Author,"World War (1939-1945);Women volunteers;Military uniforms;Communications, Military;Women soldiers",,Poland. Polskie Siły Zbrojne. Pomocnicza Służba Kobiet,Great Britain,1939/1945,,,"Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor,",,The photo shows two women of the Polish Women's Auxiliary Service. The women are part of the communications division of the military. One of the women is writing something down.,"Numbers on the back: 1405, 7 ; Censorship 289683 ; 26 OCT 1943 (Censorship Date) ; Boguslawski pplk. dypl. - Lt. Col.",still image,photographs,black-and-white photographs,12x17 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2713-001.tif,701-151-005-2713-001,A Group of Teenage Boys of the Polish Armed Forces in Great Britain,,,Author,World War (1939-1945);Young volunteers;Military uniforms;Teenage boys;Children and war,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,"Delegat wojskowy do spraw propagandy i cenzor wojskowy, Polish Army G.H.Q. Chief Censor,",,The photo shows a group of young members of the Polish Army sitting on a field. The photo seems to have been taken in the midst of their conversation.,"Numbers on the back: 752, 28. ; 21 SEP 1942 (Censorship Date) ; Boguslawski pplk. dypl. - Lt. Col.",still image,photographs,black-and-white photographs,10x13 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2714-001.tif,701-151-005-2714-001,Three Crouching Polish Soldiers,,,Author,World War (1939-1945);Soldiers;Military uniforms;Clocks and watches,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,,,"The photo shows three soldiers in the middle of a conversation. Two of the men are crouching, and one of the men sitting and leaning on a wall.",Words on the back: Canada,still image,photographs,black-and-white photographs,13x18 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2716-001.tif,701-151-005-2716-001,Smiling and Smoking Soldier,,,Author,World War (1939-1945);Soldiers;Military uniforms;Smoking,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,,,The photo shows a soldier posing for a photo. He is standing in front of a building. The soldier is smoking a cigarette.,,still image,photographs,black-and-white photographs,8x6 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2717-001.tif,701-151-005-2717-001,Portrait of a Smiling Soldier,,,Author,World War (1939-1945);Military uniforms;Tents;Soldiers;Smiling;Forests and forestry,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,,,The photo shows a Polish soldier smiling at the camera. He is wearing a hat that is tilted. A forest and tent are present in the background.,"Numbers on the back: II, 12z",still image,photographs,black-and-white photographs,6x9 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2718-001.tif,701-151-005-2718-001,Two Motorcycle Riders,,,Author,World War (1939-1945);Soldiers;Military uniforms;Helmets;Smiling;Forests and forestry,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,"Polish War Relief, Polish American Council of the United States of America",,The photo shows two soldiers wearing motorcycle attire and helmets. One of the soldiers is raising the other's arm. They seem to be celebrating something. There is a forest behind the men.,Numbers on the back: 23,still image,photographs,black-and-white photographs,10x15 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2720-001.tif,701-151-005-2720-001,A Group of Polish Soldiers in Front of a Building,,,Author,Women volunteers;World War (1939-1945);Soldiers;Military uniforms,,Poland. Polskie Siły Zbrojne. Pomocnicza Służba Kobiet;Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,,,The photo shows a group of soldiers walking in front of a house. The soldiers are dressed in military attire. A volunteer from the Polish Women's Auxiliary Service is walking with them.,"Numbers on the back: 191, 8",still image,photographs,black-and-white photographs,7x10 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2721-001.tif,701-151-005-2721-001,Polish soldiers in front of trucks,,,Author,Automobiles;Buses;World War (1939-1945);Soldiers;Military uniforms,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,The photo shows soldiers on a field. The soldiers are returning to their vehicles. The vehicles seen are buses and trucks.,"Numbers on the back: 3, 6634, k.6, f.28. ; M. J. Mazynski, 580 South Marengo Avenue, Pasadena, California ; 5 OCT 1942 (Censorship Date)",still image,photographs,black-and-white photographs,12x16 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2722-001.tif,701-151-005-2722-001,Bugle Call,,,Author,World War (1939-1945);Volunteers;Brass instruments;Soldiers;Military uniforms;Forests and forestry;Bugle calls,,United States. Army.,Great Britain,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,The photo shows an American volunteer who is acting as a signalman. The man is playing on a trumpet in the middle of a forest.,Censorship No. 202929 ; No. 145,still image,photographs,black-and-white photographs,17x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2723-001.tif,701-151-005-2723-001,Bugle Call Played by a Polish Soldier,,,Author,Brass instruments;World War (1939-1945);Soldiers;Firearms;Military uniforms;Bugle calls,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,"Republic of Poland, Ministry of Information, Photo Service",,"The photo shows the side view of a soldier playing on the trumpet. The soldier is dressed in military gear, and there is a firearm attached to his back.",No. 186,still image,photographs,black-and-white photographs,17x12 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2533-011.tif;701-151-005-2533-014.tif;701-151-005-2533-018.tif,701-151-005-2533-011,Maneuvers of Polish troops in England (2),,,Author,Artillery;World War (1939-1945);Soldiers;Military maneuvers;Military uniforms;Armed Forces--Gunners;Artillery drill and tactics,,Poland. Polskie Siły Zbrojne,England,1939/1945,,,"Keystone, Press Agency LTD.",,"The photos show Polish gunners preparing for invasion rehearsals. In Photo 011, a Polish gunner is looking through the eyehole of a field gun. Photos 014 and 018 show gunners taking position on the brow of a hill to prepare for an invasion rehearsal on a training ground somewhere in Britain.","Numbers on the back: 2126-37, 0-2, 5, 2126-39, 2126-2",still image,photographs,black-and-white photographs,17x22 cm; 17x22 cm; 17x22 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2724-001.tif,701-151-005-2724-001,A Polish Soldier in Great Britain Plays Bugle Call,,,Author,World War (1939-1945);Military uniforms;Brass instruments;Forests and forestry;Bodies of water;Bugle calls,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,,,The photo shows a soldier playing on a trumpet. A body of water and trees are in the background.,Numbers on the back: 18244-3,still image,photographs,black-and-white photographs,26x21 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
World War II in Pictures (temporary title),"The collection consist of photographs related to Polish Armed Forces in the West, Polish Army in Russia and their journey to Italy –  until they reached Monte Cassino, as well as fate of Polish civilians including children during the war and images of Polish Government- in-Exile officials. (to be refined)",701-151-005-2709-001.tif,701-151-005-2709-001,Thumbs up!,,,Author,World War (1939-1945);Automobiles;Soldiers;Leather jackets,,Poland. Polskie Siły Zbrojne,Great Britain,1939/1945,,,,,The photo shows a soldier giving a thumbs up next to an automobile. The car has a thumbs up design on its mudguard.,"Numbers on the back: 1-15488, BH 2400, 14",still image,photographs,black-and-white photographs,16x20 cm,,,,Józef Pilsudski Institute of America,image/tiff,digitized other analog
